id arrival begin end wait queue duration serviceTime order
1787 4567 18469 18820 13902 42 351 14253 382
581 4555 18468 18873 13913 44 405 14318 383
1933 4520 18299 18852 13779 53 553 14332 384
983 4609 18698 18993 14089 50 295 14384 385
1381 4541 18431 18964 13890 47 533 14423 386
2312 4707 19095 19134 14388 48 39 14427 387
3034 4654 18852 19130 14198 52 278 14476 388
1463 4599 18543 19095 13944 47 552 14496 389
514 4743 19134 19376 14391 49 242 14633 390
2371 4659 18873 19305 14214 45 432 14646 391
2714 4624 18820 19333 14196 43 513 14709 392
1814 4704 18993 19423 14289 51 430 14719 393
1496 4681 18964 19475 14283 48 511 14794 394
2837 4790 19333 19616 14543 44 283 14826 395
1959 4715 19130 19546 14415 53 416 14831 396
461 4832 19475 19859 14643 49 384 15027 397
2304 4831 19423 19881 14592 52 458 15050 398
768 4897 19616 19955 14719 45 339 15058 399
1394 4743 19305 19827 14562 45 522 15084 400
1684 4804 19376 19949 14572 50 573 15145 401
1189 4835 19546 20064 14711 54 518 15229 402
2177 4903 19827 20234 14924 46 407 15331 403
65 4971 19955 20319 14984 46 364 15348 404
2499 4965 19949 20379 14984 51 430 15414 405
341 4992 20379 20492 15387 52 113 15500 406
763 4944 19881 20456 14937 53 575 15512 407
652 4904 19859 20423 14955 50 564 15519 408
931 4972 20064 20558 15092 55 494 15586 409
1786 4973 20234 20582 15261 47 348 15609 410
1007 4984 20319 20594 15335 47 275 15610 411
2306 5025 20492 20801 15467 52 309 15776 412
644 5035 20594 20825 15559 48 231 15790 413
1860 4999 20423 20823 15424 50 400 15824 414
322 5017 20456 20915 15439 53 459 15898 415
2090 5066 20915 21012 15849 54 97 15946 416
1030 5085 21066 21086 15981 50 20 16001 417
2716 5055 20825 21066 15770 49 241 16011 418
150 5034 20558 21080 15524 55 522 16046 419
1451 5048 20823 21114 15775 51 291 16066 420
352 5034 20582 21178 15548 48 596 16144 421
2220 5133 21258 21284 16125 53 26 16151 422
1908 5102 21114 21258 16012 52 144 16156 423
